v001,birthsw,anc4plus,
185,4,2,0.5
186,4,3,0.75
187,2,1,0.5
188,1,0,0
189,4,2,0.5
190,1,0,0
191,4,3,0.75
192,1,0,0
193,3,1,0.333333333
194,5,4,0.8
195,2,1,0.5
196,9,8,0.888888889
197,3,2,0.666666667
198,7,5,0.714285714
199,2,1,0.5
200,3,2,0.666666667
201,1,0,0
202,1,0,0
203,2,2,1
204,3,3,1
205,2,0,0
206,3,2,0.666666667
207,2,1,0.5
208,1,1,1
209,9,3,0.333333333
210,7,1,0.142857143
211,7,0,0
212,5,2,0.4
213,5,1,0.2
214,11,3,0.272727273
215,7,1,0.142857143
216,7,1,0.142857143
217,6,1,0.166666667
218,6,2,0.333333333
219,0,0,.
220,7,4,0.571428571
221,3,2,0.666666667
222,5,1,0.2
223,4,2,0.5
224,9,2,0.222222222
225,9,2,0.222222222
226,5,2,0.4
227,8,4,0.5
228,11,3,0.272727273
229,11,3,0.272727273
230,1,0,0
231,7,2,0.285714286
232,3,1,0.333333333
233,3,0,0
234,5,2,0.4
235,8,1,0.125
236,3,0,0
237,14,1,0.071428571
238,7,1,0.142857143
239,7,1,0.142857143
240,4,3,0.75
241,4,0,0
242,3,1,0.333333333
243,8,4,0.5
244,3,1,0.333333333
245,10,4,0.4
246,12,10,0.833333333
247,5,2,0.4
248,3,1,0.333333333
249,3,2,0.666666667
250,8,7,0.875
251,7,2,0.285714286
252,8,6,0.75
253,2,2,1
254,8,6,0.75
255,8,2,0.25
256,9,5,0.555555556
257,9,0,0
258,4,1,0.25
259,2,0,0
260,7,6,0.857142857
261,17,9,0.529411765
262,14,6,0.428571429
263,4,3,0.75
264,10,5,0.5
265,4,1,0.25
266,9,6,0.666666667
267,13,4,0.307692308
268,3,0,0
269,5,3,0.6
270,6,3,0.5
271,2,1,0.5
272,5,0,0
273,8,0,0
274,10,8,0.8
275,10,2,0.2
276,9,7,0.777777778
277,9,3,0.333333333
278,12,0,0
279,7,3,0.428571429
280,5,4,0.8
281,10,6,0.6
282,10,1,0.1
283,10,0,0
284,11,3,0.272727273
285,12,0,0
286,11,2,0.181818182
287,10,3,0.3
288,6,1,0.166666667
289,14,5,0.357142857
290,11,4,0.363636364
291,7,4,0.571428571
292,14,5,0.357142857
293,5,2,0.4
294,9,2,0.222222222
295,11,4,0.363636364
296,13,5,0.384615385
297,10,3,0.3
298,10,0,0
299,9,8,0.888888889
300,16,9,0.5625
301,11,6,0.545454545
302,6,4,0.666666667
303,8,3,0.375
304,10,7,0.7
305,7,4,0.571428571
307,5,0,0
308,11,9,0.818181818
309,7,6,0.857142857
310,8,7,0.875
311,8,5,0.625
312,6,6,1
313,6,4,0.666666667
314,10,2,0.2
315,5,3,0.6
316,4,4,1
317,9,9,1
318,4,3,0.75
319,5,3,0.6
320,2,1,0.5
321,2,1,0.5
322,9,8,0.888888889
323,4,3,0.75
324,7,6,0.857142857
325,11,8,0.727272727
326,7,7,1
327,8,6,0.75
328,6,4,0.666666667
329,8,4,0.5
330,10,9,0.9
331,9,5,0.555555556
332,8,4,0.5
333,9,4,0.444444444
334,6,5,0.833333333
335,6,5,0.833333333
336,9,2,0.222222222
337,8,4,0.5
338,3,0,0
339,4,4,1
340,8,1,0.125
341,3,2,0.666666667
342,6,4,0.666666667
343,6,0,0
344,10,3,0.3
345,8,5,0.625
346,5,4,0.8
347,6,6,1
348,6,5,0.833333333
349,8,3,0.375
350,7,4,0.571428571
351,9,6,0.666666667
352,3,0,0
353,11,5,0.454545455
354,7,4,0.571428571
355,9,6,0.666666667
356,6,6,1
357,4,1,0.25
358,4,1,0.25
359,0,0,.
360,5,3,0.6
361,1,0,0
362,6,3,0.5
363,4,3,0.75
364,0,0,.
365,6,1,0.166666667
366,3,2,0.666666667
367,6,2,0.333333333
368,7,4,0.571428571
369,4,1,0.25
370,5,3,0.6
371,1,0,0
372,5,3,0.6
373,7,4,0.571428571
374,5,2,0.4
375,5,3,0.6
376,6,1,0.166666667
377,1,1,1
378,5,2,0.4
379,4,3,0.75
380,1,1,1
381,4,3,0.75
382,7,2,0.285714286
383,4,1,0.25
384,5,1,0.2
385,2,2,1
386,2,0,0
387,1,1,1
388,2,0,0
389,7,4,0.571428571
390,4,1,0.25
391,6,2,0.333333333
392,4,1,0.25
393,5,1,0.2
394,3,2,0.666666667
395,2,2,1
396,1,1,1
397,2,0,0
398,2,1,0.5
399,2,2,1
400,4,1,0.25
401,3,2,0.666666667
402,2,1,0.5
403,3,2,0.666666667
404,3,1,0.333333333
405,2,2,1
406,4,2,0.5
407,2,0,0
408,6,3,0.5
409,2,1,0.5
410,5,2,0.4
411,2,0,0
412,3,1,0.333333333
413,3,3,1
414,5,3,0.6
415,2,0,0
416,8,4,0.5
417,3,3,1
418,4,4,1
419,4,2,0.5
420,4,3,0.75
421,3,2,0.666666667
422,3,2,0.666666667
423,3,3,1
424,4,3,0.75
425,3,2,0.666666667
426,4,3,0.75
427,4,4,1
428,4,3,0.75
429,5,3,0.6
430,2,2,1
431,1,1,1
432,4,3,0.75
433,2,2,1
434,3,2,0.666666667
435,2,2,1
436,3,2,0.666666667
437,1,0,0
438,4,2,0.5
439,2,1,0.5
440,4,1,0.25
441,4,2,0.5
442,1,0,0
443,0,0,.
444,4,4,1
445,4,2,0.5
446,5,3,0.6
447,4,0,0
448,1,1,1
449,4,3,0.75
450,2,1,0.5
451,1,1,1
452,2,2,1
453,2,1,0.5
454,1,1,1
455,5,1,0.2
456,2,1,0.5
457,2,1,0.5
458,3,2,0.666666667
459,3,3,1
460,3,2,0.666666667
461,3,1,0.333333333
462,4,4,1
463,2,2,1
464,3,3,1
465,4,2,0.5
466,2,1,0.5
467,4,3,0.75
468,0,0,.
469,3,2,0.666666667
470,1,1,1
471,3,2,0.666666667
472,4,3,0.75
473,3,1,0.333333333
474,2,1,0.5
475,3,3,1
476,5,3,0.6
477,8,4,0.5
478,5,2,0.4
479,3,3,1
480,2,1,0.5
481,2,0,0
482,4,2,0.5
483,4,3,0.75
484,4,4,1
485,5,5,1
486,3,2,0.666666667
487,5,3,0.6
488,4,4,1
489,2,2,1
490,6,6,1
491,4,4,1
492,2,0,0
493,2,0,0
494,2,1,0.5
495,1,1,1
496,3,3,1
497,3,2,0.666666667
498,3,3,1
500,4,3,0.75
501,1,1,1
502,3,2,0.666666667
503,3,2,0.666666667
504,6,3,0.5
505,8,4,0.5
506,7,4,0.571428571
507,6,5,0.833333333
508,3,2,0.666666667
509,3,2,0.666666667
510,1,1,1
511,4,2,0.5
512,4,3,0.75
513,6,4,0.666666667
514,3,3,1
515,6,2,0.333333333
516,6,3,0.5
517,2,2,1
518,8,4,0.5
519,5,4,0.8
520,2,2,1
521,2,1,0.5
522,3,3,1
523,2,2,1
524,4,2,0.5
525,3,3,1
526,3,3,1
527,1,1,1
528,3,1,0.333333333
529,6,5,0.833333333
530,4,2,0.5
531,2,1,0.5
532,0,0,.
533,1,1,1
534,1,1,1
535,4,4,1
536,4,2,0.5
537,3,2,0.666666667
538,0,0,.
539,1,1,1
540,1,1,1
541,1,1,1
542,2,1,0.5
543,9,9,1
544,2,1,0.5
545,6,5,0.833333333
546,4,3,0.75
547,7,5,0.714285714
548,5,5,1
549,1,1,1
550,0,0,.
551,3,3,1
552,1,1,1
553,4,1,0.25
554,3,3,1
555,4,3,0.75
556,2,1,0.5
557,5,4,0.8
558,2,2,1
559,6,5,0.833333333
560,1,1,1
561,5,5,1
562,2,1,0.5
563,7,6,0.857142857
564,6,6,1
565,2,2,1
566,3,3,1
567,4,2,0.5
568,4,2,0.5
569,4,3,0.75
570,8,7,0.875
571,6,5,0.833333333
572,1,1,1
573,4,2,0.5
574,3,1,0.333333333
575,1,0,0
576,5,3,0.6
577,1,1,1
578,2,1,0.5
579,4,3,0.75
580,2,2,1
581,4,4,1
582,5,5,1
583,2,1,0.5
584,1,1,1
585,1,0,0
586,2,1,0.5
587,3,2,0.666666667
588,5,3,0.6
589,7,4,0.571428571
590,3,3,1
591,5,2,0.4
592,4,3,0.75
593,9,6,0.666666667
594,6,3,0.5
595,4,3,0.75
596,2,1,0.5
597,6,4,0.666666667
598,2,2,1
599,2,2,1
600,2,1,0.5
601,3,2,0.666666667
602,3,1,0.333333333
603,5,3,0.6
604,2,1,0.5
605,6,3,0.5
606,4,1,0.25
607,5,5,1
608,3,0,0
609,2,2,1
610,4,2,0.5
611,2,2,1
612,1,1,1
613,3,1,0.333333333
614,3,1,0.333333333
615,3,2,0.666666667
616,4,3,0.75
617,3,3,1
618,4,2,0.5
619,5,3,0.6
620,2,2,1
621,6,4,0.666666667
622,5,3,0.6
623,5,3,0.6
624,1,1,1
625,7,5,0.714285714
626,1,1,1
627,1,0,0
628,0,0,.
629,3,2,0.666666667
630,1,0,0
631,1,1,1
632,3,3,1
633,3,3,1
634,3,3,1
635,3,3,1
636,4,3,0.75
637,5,4,0.8
638,2,1,0.5
639,1,1,1
640,4,2,0.5
641,3,3,1
642,2,1,0.5
643,1,1,1
644,3,3,1
645,0,0,.
646,3,2,0.666666667
647,2,2,1
648,5,4,0.8
649,2,2,1
650,3,3,1
651,0,0,.
652,7,5,0.714285714
653,1,1,1
654,1,0,0
655,2,2,1
656,2,2,1
657,5,4,0.8
658,2,2,1
659,1,1,1
661,8,6,0.75
662,1,1,1
663,3,3,1
664,2,2,1
665,3,1,0.333333333
666,2,2,1
667,3,1,0.333333333
668,3,2,0.666666667
669,4,2,0.5
670,3,3,1
671,2,1,0.5
672,1,0,0
673,2,0,0
674,2,2,1
675,4,4,1
676,4,2,0.5
677,4,3,0.75
678,2,2,1
679,3,3,1
680,2,2,1
681,0,0,.
682,7,6,0.857142857
683,2,1,0.5
684,2,2,1
685,5,1,0.2
686,5,4,0.8
687,1,1,1
688,5,4,0.8
689,6,5,0.833333333
690,2,2,1
691,3,2,0.666666667
692,4,3,0.75
693,4,1,0.25
694,4,4,1
695,3,1,0.333333333
696,2,1,0.5
697,1,1,1
698,4,2,0.5
699,1,1,1
700,5,3,0.6
701,2,1,0.5
702,4,4,1
703,4,2,0.5
704,4,2,0.5
705,4,3,0.75
706,3,1,0.333333333
707,2,1,0.5
708,2,2,1
709,4,4,1
710,3,3,1
711,4,1,0.25
712,1,1,1
713,4,3,0.75
714,0,0,.
715,5,4,0.8
716,2,2,1
717,3,2,0.666666667
718,8,5,0.625
719,2,1,0.5
720,2,2,1
721,6,1,0.166666667
722,1,1,1
723,3,1,0.333333333
724,3,1,0.333333333
725,1,1,1
726,3,3,1
727,3,1,0.333333333
728,3,1,0.333333333
729,2,2,1
730,2,2,1
731,3,1,0.333333333
732,4,2,0.5
733,4,2,0.5
734,4,1,0.25
735,3,1,0.333333333
736,1,1,1
737,4,2,0.5
738,4,4,1
739,4,4,1
740,4,2,0.5
741,0,0,.
742,1,1,1
743,3,1,0.333333333
744,3,3,1
745,5,3,0.6
746,4,2,0.5
747,0,0,.
748,4,4,1
749,5,4,0.8
750,3,2,0.666666667
751,3,1,0.333333333
752,3,2,0.666666667
753,5,4,0.8
754,2,1,0.5
755,3,0,0
756,3,2,0.666666667
757,0,0,.
758,3,3,1
759,4,1,0.25
760,6,3,0.5
761,4,2,0.5
762,4,4,1
763,4,3,0.75
764,3,3,1
765,3,3,1
766,2,0,0
767,3,0,0
768,4,2,0.5
769,2,2,1
770,5,5,1
771,3,2,0.666666667
772,2,1,0.5
773,3,2,0.666666667
774,1,1,1
775,5,2,0.4
776,2,2,1
777,5,4,0.8
778,6,5,0.833333333
779,14,8,0.571428571
780,9,6,0.666666667
781,6,5,0.833333333
782,11,7,0.636363636
783,6,3,0.5
784,10,7,0.7
785,3,2,0.666666667
786,3,1,0.333333333
787,6,4,0.666666667
788,3,2,0.666666667
789,5,3,0.6
790,4,1,0.25
791,6,4,0.666666667
792,8,5,0.625
793,10,7,0.7
794,10,9,0.9
795,4,3,0.75
796,3,2,0.666666667
797,9,3,0.333333333
798,10,7,0.7
799,10,6,0.6
800,3,1,0.333333333
801,13,7,0.538461538
802,7,1,0.142857143
803,1,0,0
804,7,7,1
805,10,7,0.7
806,1,0,0
807,11,7,0.636363636
808,11,4,0.363636364
809,3,2,0.666666667
810,6,4,0.666666667
811,6,3,0.5
812,10,1,0.1
813,5,1,0.2
814,15,5,0.333333333
815,15,1,0.066666667
816,12,1,0.083333333
817,9,3,0.333333333
818,12,6,0.5
819,10,3,0.3
820,16,3,0.1875
821,10,5,0.5
822,13,3,0.230769231
823,13,2,0.153846154
824,14,3,0.214285714
825,9,0,0
826,8,2,0.25
827,12,5,0.416666667
828,11,6,0.545454545
829,12,6,0.5
830,7,5,0.714285714
831,13,4,0.307692308
832,10,0,0
833,9,3,0.333333333
834,10,4,0.4
835,6,2,0.333333333
836,8,8,1
837,10,6,0.6
838,5,2,0.4
839,2,2,1
840,6,3,0.5
841,11,8,0.727272727
842,5,3,0.6
843,7,2,0.285714286
844,9,5,0.555555556
845,6,4,0.666666667
846,11,6,0.545454545
847,9,3,0.333333333
848,1,0,0
849,4,3,0.75
850,6,4,0.666666667
851,3,1,0.333333333
852,5,3,0.6
853,9,4,0.444444444
854,5,2,0.4
855,5,4,0.8
856,4,2,0.5
857,12,4,0.333333333
858,11,9,0.818181818
859,11,10,0.909090909
860,2,1,0.5
861,10,7,0.7
862,9,2,0.222222222
863,3,3,1
864,9,3,0.333333333
865,7,6,0.857142857
866,9,7,0.777777778
867,5,1,0.2
868,10,0,0
869,12,7,0.583333333
870,8,7,0.875
871,7,5,0.714285714
872,2,1,0.5
873,2,1,0.5
874,7,2,0.285714286
875,8,4,0.5
876,7,3,0.428571429
877,12,7,0.583333333
878,10,1,0.1
879,14,8,0.571428571
880,4,3,0.75
881,4,4,1
882,4,1,0.25
883,3,3,1
884,4,2,0.5
885,5,3,0.6
886,0,0,.
887,1,1,1
888,4,3,0.75
889,2,2,1
890,3,1,0.333333333
891,3,2,0.666666667
892,6,2,0.333333333
893,5,3,0.6
894,5,3,0.6
895,3,3,1
896,3,3,1
897,6,4,0.666666667
898,1,1,1
899,4,2,0.5
900,3,3,1
901,4,4,1
902,12,5,0.416666667
903,9,5,0.555555556
904,5,5,1
905,4,4,1
906,3,3,1
907,4,1,0.25
908,3,2,0.666666667
909,7,3,0.428571429
910,5,3,0.6
911,3,2,0.666666667
912,3,3,1
913,1,1,1
914,3,3,1
915,8,6,0.75
916,4,4,1
917,0,0,.
918,3,2,0.666666667
919,5,4,0.8
920,4,3,0.75
921,6,2,0.333333333
922,3,2,0.666666667
923,6,5,0.833333333
924,3,2,0.666666667
925,7,6,0.857142857
926,1,1,1
927,3,3,1
928,3,2,0.666666667
929,4,3,0.75
930,3,3,1
931,7,5,0.714285714
932,4,4,1
933,5,5,1
934,3,2,0.666666667
935,6,2,0.333333333
936,7,4,0.571428571
937,7,5,0.714285714
938,2,1,0.5
939,3,3,1
940,8,3,0.375
941,4,2,0.5
942,6,4,0.666666667
943,4,3,0.75
944,5,2,0.4
945,9,6,0.666666667
946,4,2,0.5
947,5,5,1
948,6,5,0.833333333
949,1,1,1
950,4,3,0.75
951,5,3,0.6
952,3,3,1
953,5,2,0.4
954,2,1,0.5
955,4,4,1
956,2,2,1
957,3,1,0.333333333
958,2,0,0
959,7,6,0.857142857
960,4,2,0.5
961,8,6,0.75
962,3,2,0.666666667
963,9,6,0.666666667
964,7,5,0.714285714
965,8,2,0.25
966,4,2,0.5
967,1,1,1
968,5,3,0.6
969,8,5,0.625
970,7,1,0.142857143
971,2,2,1
972,5,3,0.6
973,5,2,0.4
974,7,2,0.285714286
975,2,0,0
976,4,1,0.25
977,2,2,1
978,6,3,0.5
979,7,5,0.714285714
980,1,0,0
981,7,5,0.714285714
982,4,2,0.5
983,4,1,0.25
984,5,5,1
985,8,3,0.375
986,2,1,0.5
987,2,1,0.5
988,0,0,.
989,8,5,0.625
990,2,2,1
991,2,2,1
992,5,2,0.4
993,6,5,0.833333333
994,3,1,0.333333333
995,1,0,0
996,3,3,1
997,5,4,0.8
998,4,2,0.5
999,3,2,0.666666667
1000,5,4,0.8
1001,4,2,0.5
1002,3,3,1
1003,4,3,0.75
1004,3,1,0.333333333
1005,0,0,.
1006,3,2,0.666666667
1007,3,0,0
1008,2,1,0.5
1009,5,2,0.4
1010,6,5,0.833333333
1011,8,4,0.5
1012,7,4,0.571428571
1013,3,3,1
1014,2,1,0.5
1015,9,6,0.666666667
1016,1,1,1
1017,7,3,0.428571429
1018,5,5,1
1019,6,6,1
1020,5,1,0.2
1021,4,2,0.5
1022,6,2,0.333333333
1023,2,2,1
1024,1,1,1
1025,7,3,0.428571429
1026,3,2,0.666666667
1027,6,3,0.5
1028,10,6,0.6
1029,3,0,0
1030,2,1,0.5
1031,6,5,0.833333333
1032,6,6,1
1033,6,2,0.333333333
1034,6,2,0.333333333
1035,5,1,0.2
1036,2,1,0.5
1037,5,1,0.2
1038,5,1,0.2
1039,2,2,1
1040,4,4,1
1041,6,5,0.833333333
1042,4,1,0.25
1043,3,1,0.333333333
1044,8,6,0.75
1045,6,5,0.833333333
1046,2,2,1
1047,7,7,1
1048,9,2,0.222222222
1049,5,0,0
1050,3,0,0
1051,3,2,0.666666667
1052,9,5,0.555555556
1053,6,3,0.5
1054,16,6,0.375
1055,4,3,0.75
1056,3,3,1
1057,2,2,1
1058,2,1,0.5
1059,5,4,0.8
1060,2,1,0.5
1061,2,2,1
1062,3,0,0
1063,3,3,1
1064,4,3,0.75
1065,2,1,0.5
1066,3,2,0.666666667
1067,6,2,0.333333333
1069,5,3,0.6
1070,3,2,0.666666667
1071,8,4,0.5
1072,3,1,0.333333333
1073,5,2,0.4
1074,3,3,1
1075,2,1,0.5
1076,5,2,0.4
1077,3,3,1
1078,1,0,0
1079,1,1,1
1080,6,5,0.833333333
1081,3,2,0.666666667
1082,0,0,.
1083,2,1,0.5
1084,3,2,0.666666667
1085,3,1,0.333333333
1086,3,2,0.666666667
1087,5,5,1
1088,3,2,0.666666667
1089,4,1,0.25
1090,8,5,0.625
1091,2,2,1
1092,6,1,0.166666667
1093,4,3,0.75
1094,2,2,1
1095,4,3,0.75
1096,3,2,0.666666667
1097,5,3,0.6
1098,4,1,0.25
1099,4,2,0.5
1100,3,3,1
1101,2,1,0.5
1102,1,1,1
1103,1,1,1
1104,6,6,1
1105,9,6,0.666666667
1106,8,8,1
1107,5,4,0.8
1108,3,3,1
1109,6,6,1
1110,3,2,0.666666667
1111,6,5,0.833333333
1112,5,4,0.8
1113,6,4,0.666666667
1114,2,2,1
1115,1,1,1
1116,4,4,1
1117,1,1,1
1118,3,3,1
1119,4,2,0.5
1120,3,2,0.666666667
1121,3,1,0.333333333
1122,10,8,0.8
1123,8,5,0.625
1124,3,2,0.666666667
1125,3,3,1
1126,5,4,0.8
1127,2,1,0.5
1128,6,4,0.666666667
1129,8,5,0.625
1130,12,9,0.75
1131,3,1,0.333333333
1132,2,1,0.5
1133,10,6,0.6
1134,5,3,0.6
1135,5,4,0.8
1136,8,5,0.625
1137,2,1,0.5
1138,5,5,1
1139,3,2,0.666666667
1140,2,1,0.5
1141,2,2,1
1142,9,1,0.111111111
1143,9,5,0.555555556
1144,8,6,0.75
1145,8,4,0.5
1146,5,2,0.4
1147,11,6,0.545454545
1148,2,1,0.5
1149,7,4,0.571428571
1150,6,3,0.5
1151,10,5,0.5
1152,6,4,0.666666667
1153,3,2,0.666666667
1154,10,7,0.7
1155,8,5,0.625
1156,8,2,0.25
1157,8,1,0.125
1158,4,2,0.5
1159,10,5,0.5
1160,12,9,0.75
1161,6,3,0.5
1162,6,3,0.5
1163,5,4,0.8
1164,12,6,0.5
1165,7,6,0.857142857
1166,2,2,1
1167,4,4,1
1168,2,2,1
1169,4,3,0.75
1170,5,5,1
1171,2,1,0.5
1172,5,5,1
1173,3,2,0.666666667
1174,3,2,0.666666667
1175,7,7,1
1176,2,2,1
1177,6,5,0.833333333
1178,4,3,0.75
1179,3,2,0.666666667
1180,5,3,0.6
1181,5,5,1
1182,5,4,0.8
1183,2,2,1
1184,2,2,1
1185,0,0,.
1186,3,3,1
1187,4,4,1
1188,4,4,1
1189,9,5,0.555555556
1190,5,4,0.8
1191,6,1,0.166666667
1192,8,4,0.5
1193,11,7,0.636363636
1194,3,3,1
1195,3,2,0.666666667
1196,4,3,0.75
1197,3,2,0.666666667
1198,9,6,0.666666667
1199,3,2,0.666666667
1200,2,1,0.5
1201,8,6,0.75
1202,3,3,1
1203,5,1,0.2
1204,4,1,0.25
1205,4,4,1
1206,5,4,0.8
1207,2,2,1
1208,7,5,0.714285714
1209,5,1,0.2
1210,3,3,1
1211,4,3,0.75
1212,2,2,1
1213,9,8,0.888888889
1214,5,4,0.8
1215,2,1,0.5
1216,2,1,0.5
1217,7,4,0.571428571
1218,4,2,0.5
1219,6,2,0.333333333
1220,2,1,0.5
1221,4,0,0
1222,2,2,1
1223,4,4,1
1224,1,1,1
1225,3,3,1
1226,3,3,1
1227,8,3,0.375
1228,7,3,0.428571429
1229,1,0,0
1230,4,3,0.75
1231,5,3,0.6
1232,5,1,0.2
1233,8,3,0.375
1234,2,2,1
1235,4,2,0.5
1236,6,6,1
1237,9,5,0.555555556
1238,2,1,0.5
1239,4,2,0.5
1240,3,2,0.666666667
1241,8,4,0.5
1242,3,2,0.666666667
1243,5,3,0.6
1244,4,2,0.5
1245,3,1,0.333333333
1246,5,3,0.6
1247,8,3,0.375
1248,4,3,0.75
1249,4,2,0.5
1250,5,3,0.6
1251,3,3,1
1252,3,1,0.333333333
1253,3,0,0
1254,2,2,1
1255,3,2,0.666666667
1256,4,1,0.25
1257,6,3,0.5
1258,7,3,0.428571429
1259,2,1,0.5
1260,7,5,0.714285714
1261,4,2,0.5
1262,5,3,0.6
1263,10,4,0.4
1264,4,4,1
1265,7,3,0.428571429
1266,4,1,0.25
1267,4,4,1
1268,6,3,0.5
1269,4,2,0.5
1270,3,2,0.666666667
1271,2,1,0.5
1272,6,3,0.5
1273,3,3,1
1274,3,3,1
1275,5,4,0.8
1276,4,4,1
1277,2,1,0.5
1278,7,7,1
1279,4,3,0.75
1280,4,3,0.75
1281,5,4,0.8
1282,7,6,0.857142857
1283,4,3,0.75
1284,5,4,0.8
1285,2,2,1
1286,6,5,0.833333333
1287,5,3,0.6
1288,6,3,0.5
1289,4,3,0.75
1290,4,3,0.75
1291,0,0,.
1292,3,2,0.666666667
1293,5,5,1
1294,6,3,0.5
1295,5,4,0.8
1296,9,5,0.555555556
1297,9,8,0.888888889
1298,3,3,1
1299,4,2,0.5
1300,4,3,0.75
1301,7,4,0.571428571
1302,4,3,0.75
1303,6,5,0.833333333
1304,4,2,0.5
1305,7,6,0.857142857
1306,4,3,0.75
1307,3,2,0.666666667
1308,4,3,0.75
1309,7,4,0.571428571
1310,3,1,0.333333333
1311,6,4,0.666666667
1312,2,2,1
1313,2,2,1
1314,3,3,1
1315,3,1,0.333333333
1316,2,2,1
1317,3,2,0.666666667
1318,4,3,0.75
1319,3,2,0.666666667
1320,2,2,1
1321,6,5,0.833333333
1322,2,2,1
1323,3,2,0.666666667
1324,1,0,0
1325,4,4,1
1326,6,4,0.666666667
1327,4,2,0.5
1328,4,3,0.75
1329,3,1,0.333333333
1330,3,0,0
1331,5,5,1
1332,3,3,1
1333,4,3,0.75
1334,5,5,1
1335,3,3,1
1336,8,7,0.875
1337,5,5,1
1338,3,3,1
1339,3,3,1
1340,5,4,0.8
1341,10,8,0.8
1342,5,5,1
1343,2,1,0.5
1344,2,2,1
1345,5,3,0.6
1346,6,5,0.833333333
1347,3,2,0.666666667
1348,4,4,1
1349,5,2,0.4
1350,4,3,0.75
1351,3,3,1
1352,4,4,1
1353,6,4,0.666666667
1354,3,3,1
1355,8,8,1
1356,5,2,0.4
1357,5,3,0.6
1358,6,5,0.833333333
1359,5,2,0.4
1360,3,2,0.666666667
1361,3,2,0.666666667
1362,7,6,0.857142857
1363,5,3,0.6
1364,8,7,0.875
1365,4,3,0.75
1366,5,4,0.8
1367,5,4,0.8
1368,2,2,1
1369,7,5,0.714285714
1370,3,2,0.666666667
1371,5,2,0.4
1372,7,4,0.571428571
1373,4,3,0.75
